dt,endpoint,count,rank
1995-07-01,/images/NASA-logosmall.gif,3977,1
1995-07-01,/images/KSC-logosmall.gif,3530,2
1995-07-01,/shuttle/countdown/count.gif,2690,3
1995-07-02,/images/NASA-logosmall.gif,3416,1
1995-07-02,/images/KSC-logosmall.gif,3099,2
1995-07-02,/shuttle/countdown/count.gif,2305,3
1995-07-03,/images/NASA-logosmall.gif,5573,1
1995-07-03,/images/KSC-logosmall.gif,4655,2
1995-07-03,/shuttle/countdown/count.gif,3666,3
1995-07-04,/images/NASA-logosmall.gif,3858,1
1995-07-04,/images/KSC-logosmall.gif,3594,2
1995-07-04,/shuttle/countdown/count.gif,2622,3
1995-07-05,/images/NASA-logosmall.gif,6175,1
1995-07-05,/images/KSC-logosmall.gif,5154,2
1995-07-05,/shuttle/countdown/count.gif,3637,3
1995-07-06,/images/NASA-logosmall.gif,6227,1
1995-07-06,/images/KSC-logosmall.gif,5204,2
1995-07-06,/shuttle/countdown/count.gif,3495,3
1995-07-07,/images/NASA-logosmall.gif,5055,1
1995-07-07,/images/KSC-logosmall.gif,4136,2
1995-07-07,/images/MOSAIC-logosmall.gif,2823,3
1995-07-08,/images/NASA-logosmall.gif,1718,1
1995-07-08,/images/KSC-logosmall.gif,1627,2
1995-07-08,/images/MOSAIC-logosmall.gif,1204,3
1995-07-09,/images/NASA-logosmall.gif,1463,1
1995-07-09,/images/KSC-logosmall.gif,1436,2
1995-07-09,/images/MOSAIC-logosmall.gif,1156,3
1995-07-10,/images/NASA-logosmall.gif,3740,1
1995-07-10,/images/KSC-logosmall.gif,3141,2
1995-07-10,/images/MOSAIC-logosmall.gif,2541,3
1995-07-11,/images/NASA-logosmall.gif,5274,1
1995-07-11,/images/KSC-logosmall.gif,3305,2
1995-07-11,/images/MOSAIC-logosmall.gif,2642,3
1995-07-12,/images/NASA-logosmall.gif,7350,1
1995-07-12,/htbin/cdt_main.pl,4228,2
1995-07-12,/images/KSC-logosmall.gif,3812,3
1995-07-13,/images/NASA-logosmall.gif,12098,1
1995-07-13,/htbin/cdt_main.pl,6613,2
1995-07-13,/htbin/cdt_clock.pl,5961,3
1995-07-14,/images/NASA-logosmall.gif,4876,1
1995-07-14,/images/KSC-logosmall.gif,3985,2
1995-07-14,/images/MOSAIC-logosmall.gif,2935,3
1995-07-15,/images/KSC-logosmall.gif,2410,1
1995-07-15,/images/NASA-logosmall.gif,2229,2
1995-07-15,/images/MOSAIC-logosmall.gif,1355,3
1995-07-16,/images/KSC-logosmall.gif,2330,1
1995-07-16,/images/NASA-logosmall.gif,2084,2
1995-07-16,/history/apollo/images/apollo-logo1.gif,1351,3
1995-07-17,/images/NASA-logosmall.gif,3949,1
1995-07-17,/images/KSC-logosmall.gif,3608,2
1995-07-17,/images/MOSAIC-logosmall.gif,2583,3
1995-07-18,/images/NASA-logosmall.gif,3522,1
1995-07-18,/images/KSC-logosmall.gif,2980,2
1995-07-18,/images/MOSAIC-logosmall.gif,2440,3
1995-07-19,/images/NASA-logosmall.gif,3739,1
1995-07-19,/images/KSC-logosmall.gif,3406,2
1995-07-19,/images/MOSAIC-logosmall.gif,2607,3
1995-07-20,/images/NASA-logosmall.gif,3545,1
1995-07-20,/images/KSC-logosmall.gif,3227,2
1995-07-20,/images/MOSAIC-logosmall.gif,2621,3
1995-07-21,/images/KSC-logosmall.gif,3574,1
1995-07-21,/images/NASA-logosmall.gif,3462,2
1995-07-21,/images/MOSAIC-logosmall.gif,2428,3
1995-07-22,/images/KSC-logosmall.gif,1702,1
1995-07-22,/images/NASA-logosmall.gif,1631,2
1995-07-22,/images/MOSAIC-logosmall.gif,1209,3
1995-07-23,/images/KSC-logosmall.gif,1699,1
1995-07-23,/images/NASA-logosmall.gif,1651,2
1995-07-23,/images/MOSAIC-logosmall.gif,1297,3
1995-07-24,/images/NASA-logosmall.gif,3362,1
1995-07-24,/images/KSC-logosmall.gif,2780,2
1995-07-24,/images/MOSAIC-logosmall.gif,2471,3
1995-07-25,/images/NASA-logosmall.gif,3380,1
1995-07-25,/images/KSC-logosmall.gif,2715,2
1995-07-25,/images/MOSAIC-logosmall.gif,2590,3
1995-07-26,/images/NASA-logosmall.gif,3151,1
1995-07-26,/images/KSC-logosmall.gif,2732,2
1995-07-26,/images/MOSAIC-logosmall.gif,2453,3
1995-07-27,/images/NASA-logosmall.gif,3270,1
1995-07-27,/images/KSC-logosmall.gif,2793,2
1995-07-27,/images/USA-logosmall.gif,2520,3
1995-07-28,/images/NASA-logosmall.gif,1555,1
1995-07-28,/images/KSC-logosmall.gif,1287,2
1995-07-28,/images/MOSAIC-logosmall.gif,1196,3
